Statement,Header,域名稱,域值
Statement,Data,Title,轉賬歷史
Statement,Data,Period,"六月 23, 2026 - 八月 7, 2026"
Statement,Data,WhenGenerated,"2026-08-10, 10:54:51 EDT"
總結,Header,域名稱,域值
總結,Data,基礎貨幣,SGD
總結,Data,期初現金,62170.490999638685
總結,Data,變更,-56266.364222301774
總結,Data,期末現金,5904.126777336911
轉賬歷史,Header,日期,賬戶,說明,交易類型,代碼,交易量,價格,Price Currency,總額,佣金,淨金額
轉賬歷史,Data,2026-08-04,U***32085,M6E 14SEP26,買,M6EU6,1.0,1.1532,USD,-18482.913(1),-0.51288,29.8932108
轉賬歷史,Data,2026-08-04,U***32085,MHNG SEP26,買,MNGU6,1.0,2.71,USD,-3474.762(1),-1.102692,-37.10353428
轉賬歷史,Data,2026-08-04,U***32085,INTERACTIVE BROKERS GRO-CL A,賣,IBKR,-29.0,88.99,USD,3308.986362,-0.4837251774072,3308.459101555139
轉賬歷史,Data,2026-08-04,U***32085,INTERACTIVE BROKERS GRO-CL A,賣,IBKR,-2.0,88.99,USD,228.205956,-0.0023879538936,228.20335313656437
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26,賣,MNQU6,-1.0,29337.0,USD,75231.8028(1),-0.782142,-1351.00913478
轉賬歷史,Data,2026-08-04,U***32085,INTERACTIVE BROKERS GRO-CL A,賣,IBKR,-0.41,89.04,USD,46.80850608,-0.0011734848264,46.807226980359594
轉賬歷史,Data,2026-08-04,U***32085,MES 18SEP26,賣,MESU6,-1.0,7672.75,USD,49190.00025(1),-0.782142,-595.47278478
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26,賣,MNQU6,-1.0,29458.75,USD,75544.0185(1),-0.782142,-1038.79343478
轉賬歷史,Data,2026-08-04,U***32085,MES 18SEP26,賣,MESU6,-1.0,7696.5,USD,49342.2615(1),-0.782142,-443.21153477999997
轉賬歷史,Data,2026-08-04,U***32085,取消[J**********80:CBOE ONE ADD-ON] FOR JUL 2026,其它費用,-,-,-,-,1.29,-,1.29
轉賬歷史,Data,2026-08-04,U***32085,VAT Cancel[j**********80:Cboe One Add-On],銷售稅,-,-,-,-,0.1161,-,0.1161
轉賬歷史,Data,2026-08-04,U***32085,NUGT 14AUG26 80 P,買,NUGT  260814P00080000,1.0,0.31,USD,-39.7482,-0.294982932,-40.069731395880005
轉賬歷史,Data,2026-08-04,U***32085,NUGT 14AUG26 150 C,買,NUGT  260814C00150000,1.0,0.69,USD,-88.4718,-0.294982932,-88.79333139587999
轉賬歷史,Data,2026-08-04,U***32085,NUGT 21AUG26 105 P,賣,NUGT  260821P00105000,-1.0,2.36,USD,302.5992,-0.30543491352,302.266275949392
轉賬歷史,Data,2026-08-04,U***32085,NUGT 21AUG26 150 C,賣,NUGT  260821C00150000,-1.0,1.62,USD,207.7164,-0.30348032784,207.38560644009002
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26,賣,MNQU6,-1.0,29659.0,USD,76057.5396(1),-0.782142,-525.2723347799999
轉賬歷史,Data,2026-08-04,U***32085,MES 18SEP26,賣,MESU6,-1.0,7725.75,USD,49529.78325(1),-0.782142,-255.68978478000002
轉賬歷史,Data,2026-08-04,U***32085,ES 04SEP26 8300 C,賣,EW1U6 C8300,-1.0,5.0,USD,320.55,-1.807902,318.57938682
轉賬歷史,Data,2026-08-04,U***32085,cancel[j**********80:美國證券快照和期貨價值數據組非專業 - 七月 2026,其它費用,-,-,-,-,12.94,-,12.94
轉賬歷史,Data,2026-08-04,U***32085,VAT cancel[j**********80:美國證券快照和期貨價值數據組非專業 ,銷售稅,-,-,-,-,1.1646,-,1.1646
轉賬歷史,Data,2026-08-04,U***32085,MES 18SEP26,賣,MESU6,-1.0,7761.0,USD,49755.771(1),-0.782142,-29.702034779999998
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26,賣,MNQU6,-1.0,29857.25,USD,76565.9319(1),-0.782142,-16.88003478
轉賬歷史,Data,2026-08-04,U***32085,NQ 18SEP26 32250 C,賣,NQU6 C32250,-1.0,197.0,USD,5051.868,-1.807902,5049.89738682
轉賬歷史,Data,2026-08-04,U***32085,MNQ 18SEP26,買,MNQU6,1.0,29915.75,USD,-76715.94930000001(1),-0.782142,-134.84243478
轉賬歷史,Data,2026-08-04,U***32085,MCL SEP26,買,MCLU6,1.0,75.71,USD,-9707.536199999999(1),-0.974472,6.631025520000001
轉賬歷史,Data,2026-08-04,U***32085,J**********80:OSE NP L1 FOR AUG 2026,其它費用,-,-,-,-,-1.63,-,-1.63
