Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"925,000",505.91,"1,828",Jul-25,Strata,47,"19,681",99 yrs lease commencing from 1968,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"925,000",505.91,"1,828",Jul-25,Strata,47,"19,681",99 yrs lease commencing from 1968,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"925,000",505.91,"1,828",Jul-25,Strata,47,"19,681",99 yrs lease commencing from 1968,01,01 to 05
FURAMA CITY CENTRE SINGAPORE,EU TONG SEN STREET,Retail,"700,000",409.03,"1,711",Jul-25,Strata,38,"18,421",99 yrs lease commencing from 1979,01,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"2,500,000","1,334.74","1,873",Jul-25,Strata,124,"20,161",Freehold,05,01 to 05
ALEXANDRA CENTRAL,ALEXANDRA ROAD,Retail,"830,000",279.86,"2,966",Jul-25,Strata,26,"31,923",99 yrs lease commencing from 2012,03,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,950,000",430.56,"4,529",Jul-25,Strata,40,"48,750",99 yrs lease commencing from 1970,01,01 to 05
GB BUILDING,CECIL STREET,Retail,"39,200,000","13,067.5","3,000",Jul-25,Strata,"1,214","32,290",99 yrs lease commencing from 1982,01,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"630,000",182.99,"3,443",Jul-25,Strata,17,"37,059",Freehold,01,01 to 05
ICON @ PASIR PANJANG,PASIR PANJANG ROAD,Retail,"1,396,000","1,076.4","1,297",Jun-25,Strata,100,"13,960",Freehold,05,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"495,000",139.93,"3,537",Jun-25,Strata,13,"38,077",Freehold,03,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"750,000",193.75,"3,871",May-25,Strata,18,"41,667",Freehold,01,01 to 05
NEWEST,WEST COAST DRIVE,Retail,"2,000,000",678.13,"2,949",May-25,Strata,63,"31,746",956 yrs lease commencing from 1928,05,01 to 05
OXLEY TOWER,ROBINSON ROAD,Retail,"420,000",118.4,"3,547",May-25,Strata,11,"38,182",Freehold,01,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"328,888",150.7,"2,182",May-25,Strata,14,"23,492",Freehold,05,B1 to B5
ALEXANDRA CENTRAL,ALEXANDRA ROAD,Retail,"4,200,000",656.6,"6,397",May-25,Strata,61,"68,852",99 yrs lease commencing from 2012,03,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,399,999",484.38,"2,890",Mar-25,Strata,45,"31,111",99 yrs lease commencing from 1970,01,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"340,000",150.7,"2,256",Mar-25,Strata,14,"24,286",Freehold,05,B1 to B5
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"835,000",247.57,"3,373",Feb-25,Strata,23,"36,304",Freehold,03,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"500,000",139.93,"3,573",Feb-25,Strata,13,"38,462",Freehold,03,01 to 05
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"738,000",236.81,"3,116",Feb-25,Strata,22,"33,545",Freehold,03,01 to 05
THE CENTRAL,EU TONG SEN STREET,Retail,"1,480,000",635.08,"2,330",Feb-25,Strata,59,"25,085",99 yrs lease commencing from 2001,01,01 to 05
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,"358,000",161.46,"2,217",Jan-25,Strata,15,"23,867",Freehold,05,01 to 05
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Retail,"1,180,000",441.32,"2,674",Nov-24,Strata,41,"28,780",99 yrs lease commencing from 1970,01,01 to 05
THE ARCADE,COLLYER QUAY,Retail,"5,892,500","2,357.32","2,500",Nov-24,Strata,219,"26,906",99 yrs lease commencing from 1980,01,06 to 10
QUEENSWAY SHOPPING CENTRE,QUEENSWAY,Retail,"655,000",215.28,"3,043",Oct-24,Strata,20,"32,750",Freehold,03,01 to 05
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Retail,"675,000",387.5,"1,742",Oct-24,Strata,36,"18,750",99 yrs lease commencing from 1980,03,01 to 05
THE ARCADE,COLLYER QUAY,Retail,"2,800,000",505.91,"5,535",Sep-24,Strata,47,"59,574",99 yrs lease commencing from 1979,01,01 to 05
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,"1,280,000",236.81,"5,405",Sep-24,Strata,22,"58,182",99 yrs lease commencing from 1968,01,01 to 05
